Country,Code,Year,Meat Supply Per Capita (Kg),GDP Per Capita
United States,USA,2005,125.3,54353.06858
United States,USA,2006,125.53,55368.35972
United States,USA,2007,125.47,55873.24474
United States,USA,2008,122.61,55271.65747
United States,USA,2009,118.7,53399.36563
United States,USA,2010,118.82,54315.91248
United States,USA,2011,116.29,54758.83327
United States,USA,2012,114.91,55581.41384
United States,USA,2013,115.13,56214.42868
United States,USA,2014,117.56,57213.26784
United States,USA,2015,120.86,58540.29609
United States,USA,2016,122.86,59112.24221
United States,USA,2017,124.1,60109.65573
