Country,Code,Year,Beef Production (Tonnes),Pigmeat Production (Tonnes),Poultry Production (Tonnes)
United States of America,USA,2005,11180612,9391823,18833171
United States of America,USA,2006,11242845,9558699,18969393
United States of America,USA,2007,11909626,9961898,19386382
United States of America,USA,2008,12030872,10598969,19880520
United States of America,USA,2009,12091245,10441709,18952914
United States of America,USA,2010,11818953,10185656,19583418
United States of America,USA,2011,11969954,10330715,19792181
United States of America,USA,2012,11916067,10554200,19795664
United States of America,USA,2013,11788608,10524535,20085210
United States of America,USA,2014,11698116,10368227,20399386
United States of America,USA,2015,10777601,11120748,21017380
